question,document,score,reasoning
Can I still join the course if I just found out about it?,74eb249bbf,good,"The AI answer preserves the key meaning of the ground truth: late joining is allowed, but certificate eligibility depends on submitting the project before submissions close. This is semantically equivalent."
"If I join late, am I still eligible for a certificate?",74eb249bbf,good,"The AI answer preserves the key point that late joiners can still be eligible for a certificate if they submit the project while submissions are open. Although it starts with ""No,"" which is misleading, the rest of the answer correctly states the conditional eligibility and matches the ground truth in substance."
Do I need to submit my project before submissions close to get the certificate?,74eb249bbf,good,The AI answer preserves the key meaning of the ground truth: a project must be submitted before submissions close in order to receive a certificate. It is semantically equivalent and correct.
Is it okay to start the course now even though it already began?,74eb249bbf,bad,"The AI answer correctly says the course can be started after it has already begun. However, it omits the important condition from the ground truth: to receive a certificate, the student must submit the project while submissions are still being accepted. Since the question is about whether it is okay to start now, the main yes is conveyed, but a key part of the original answer is missing."
What’s the rule for getting a certificate if I join after the course has started?,74eb249bbf,good,"The AI answer preserves the key rule from the ground truth: late joiners can still participate, but certification requires submitting the project while submissions are still being accepted/open. This is semantically equivalent."
"I signed up for the LLM Zoomcamp — when should I get the confirmation email, or is there one at all?",977bf7786c,good,"The AI answer matches the ground truth: it says no confirmation email is needed, the user is accepted, they can start learning and submitting homework while the form is open, and registration is mainly to gauge interest. No key information is missing or incorrect."
"Do I need to wait for an approval or confirmation after registering, or can I just start the course?",977bf7786c,good,"The AI answer conveys the same key points as the ground truth: no approval/confirmation is needed, the student is accepted, they can start the course and submit homework while the form is open, and registration is only to gauge interest. It omits the detail that one can do this even without registering and that registration is not checked against a list, but those are extra clarifications rather than essential differences."
Is registration for the LLM Zoomcamp actually required before I can watch lessons and submit homework?,977bf7786c,good,"The AI answer matches the ground truth: it states registration is not required, that lessons can be watched and homework submitted while the form is open, that there is no registered-list check, and that registration is only for gauging interest before the start date. Semantically equivalent."
"I filled out the sign-up form — does that mean I’m officially accepted, or is there another step?",977bf7786c,good,"The AI answer conveys the same key points as the ground truth: filling out the form means you are accepted, there is no extra approval step, and you can start learning and submit homework while the form is open. It omits the note that registration is just to gauge interest and that it is not checked against a registered list, but that detail is not essential to the question asked."
What’s the point of registering for the course if it isn’t checked against a list?,977bf7786c,good,"The AI answer conveys the same core points as the ground truth: registration is only to gauge interest, accepted students can proceed regardless, homework can be submitted while the form is open, and there is no registered list check. This is semantically equivalent."
Where do I watch the Office Hours or live workshop stream if I’m a student?,489dd1c9d9,good,"The AI answer correctly states that students watch via YouTube Live, mentions the announcements channel on Telegram and Slack, and the DataTalksClub YouTube channel. It omits the Slido question-submission detail and the note about not posting questions in chat, but the core question is where to watch, so the answer is semantically equivalent."
"Is the Zoom link for the live sessions shared with everyone, or only with the teaching team?",489dd1c9d9,good,"The AI answer correctly states that the Zoom link is only shared with the teaching team and that students watch via YouTube Live. It omits some extra details from the ground truth (Slido, announcements channels), but those are not necessary for the core answer."
How do I ask questions during Office Hours when the session is live?,489dd1c9d9,good,"The AI answer matches the ground truth: it says students watch via YouTube Live, ask questions through Slido with the link pinned in chat, avoid posting questions in chat, and notes that the video URL is posted in Telegram and Slack announcements before the session. This conveys the same key information."
Will the live session video link be posted somewhere before it starts?,489dd1c9d9,good,"The AI answer matches the ground truth on the key point: the live session video URL is posted in the Telegram and Slack announcements channels before it begins, and it can also be watched live on the DataTalksClub YouTube channel. It omits the extra details about Zoom access and Slido, but those are not necessary to answer the question."
"Can I just ask my questions in the chat during the workshop, or is there a better place to send them?",489dd1c9d9,good,"The AI answer correctly captures the key point: students should submit questions via Slido, not chat, because chat messages may be missed, and the Slido link is pinned when live. It omits extra details about YouTube Live and the zoom link being for instructors, but those are not necessary for answering the question."
What’s the best way to begin LLM Zoomcamp and keep up with the weekly routine?,04919992b3,good,"The AI answer matches the ground truth closely: it recommends starting with the same three resources, states that you can begin anytime because materials are available, and gives the same weekly workflow for watching videos, doing notebooks/code, reading homework instructions, and submitting before deadlines. It also correctly references the course management platform. The extra note about tracking syllabus/progress is acceptable and does not change the meaning."
"Do I need to start the course at a specific time, or can I jump in whenever?",04919992b3,good,"The AI answer correctly says you can start whenever you want and mentions that videos/GitHub materials are available and deadlines are in the course management platform. It omits the extra recommended starting resources and the typical workflow, but those are not necessary to answer the question directly."
"Where should I look first: the docs, the logistics page, or the GitHub repo?",04919992b3,good,"The answer correctly names the docs, logistics docs, and GitHub repo, which matches the ground truth. However, it adds a misleading recommendation to 'follow the GitHub repo first' as the main entry point, whereas the original says to start with all three and then describes a workflow; it does not prioritize the repo over the docs. Still, the key resources are identified correctly and the extra detail is not a direct contradiction of the main answer, though slightly off in emphasis."
What does a normal week in the course look like from videos to homework submission?,04919992b3,good,"The AI answer matches the ground truth's core workflow: watch videos, do notebooks/code, read homework instructions, and submit via the course platform before the deadline. It also correctly notes that homework is similar to the lesson flow but may use a different dataset or task. It omits the introductory resource links and mention that one can start whenever they want, but those are not essential to the asked question."
"Is the homework basically the same as the lesson work, or does it change a bit?",04919992b3,good,The AI answer correctly captures the key point from the ground truth: homework is similar to the lesson flow but changes the dataset or task slightly. It is concise but semantically equivalent and does not omit the core answer to the user's question. 
How do I find my name on the leaderboard if I can’t see it right away?,c2903069a0,good,"The AI answer correctly states the key instruction for finding the leaderboard entry: click the “Jump to your record on the leaderboard” link. It answers the user’s question directly and matches the ground truth’s main point. It omits the extra details about display name and certificate, but those are not necessary for this question."
Why does my leaderboard entry show some random nickname instead of my real name?,c2903069a0,good,"The AI answer matches the ground truth: it explains that a random anonymous nickname is assigned by default, says to use Edit Course Profile, and correctly distinguishes the first field as the public display name and the second as the official certificate name. It preserves the key point that the leaderboard shows the display name, not the certificate name."
Where can I check what display name the course is using for me?,c2903069a0,good,"The AI answer correctly identifies that the user should click 'Edit Course Profile' and that the first field shows the display/displayed name. It omits extra details about the random assigned name and the certificate, but those are not required to answer the question."
Can I change the name that appears on the leaderboard and in the course profile?,c2903069a0,good,"The AI answer captures the key point: the names can be changed in Edit Course Profile, with the first field as the displayed/nickname name and the second as the official name. It also correctly links the leaderboard/display name and course profile. Although it omits the extra details about random assigned names and certificate implications, those are not necessary for semantic equivalence."
What do I need to fill in so my certificate doesn’t show the default random name?,c2903069a0,good,"The AI answer correctly identifies that the second field in Edit Course Profile should be filled with the official name as on ID/passport, and that this name is what appears on the certificate instead of the default random name. This matches the key point of the ground truth. The mention of the first field is omitted, but it was not necessary to answer the question."
"Can I take the course on my own schedule and still get the certificate, or does it have to be with a live cohort?",69d122f12e,good,"The AI answer matches the ground truth: it says self-paced is allowed but does not qualify for a certificate, and that a live cohort is required because peer review must happen during the course run. This preserves the key points of the original answer."
"If I finish everything in self-paced mode, will I still get a certificate at the end?",69d122f12e,good,"The AI answer conveys the key point that certificates are only awarded for completing the course with a live cohort and not in self-paced mode. It omits the explanation about peer-reviewing capstones, but that detail is not necessary for the core answer. Semantically equivalent."
Why aren’t certificates given for the self-paced version of the course?,69d122f12e,good,"The AI answer matches the ground truth: it says certificates are not given for self-paced mode, explains that certificate eligibility requires peer-reviewing 3 capstones, and notes that this can only happen during a live cohort while the course is running. This preserves the key point and rationale."
Do I need to do peer reviews to be eligible for the course certificate?,69d122f12e,bad,"The AI answer is not semantically equivalent to the ground truth. The ground truth says certificates are only available for the live cohort and not for self-paced mode, because peer reviews are required and only possible while the course is running. The AI answer incorrectly implies that doing peer reviews alone makes you eligible, without mentioning the live cohort restriction or that self-paced learners cannot get certificates."
"Once the course is over, can I still submit peer reviews and qualify for certification?",69d122f12e,good,"The AI answer matches the ground truth: it says certification is not possible after the course ends, that peer reviews must be completed while the course is still running, and that certification requires reviewing 3 capstones. It preserves the key point that reviews after closure do not count."
Can I still get the certificate if I skipped the first homework?,9f689c185f,good,"The AI answer matches the ground truth: it says homework is not mandatory for the certificate and that passing the Capstone project is what matters. It preserves the key point even though it omits the leaderboard detail, which is extra information."
Do I have to do all the homework assignments to receive the certificate?,9f689c185f,good,"The AI answer matches the ground truth: it correctly says homework is not required, that passing the Capstone project is necessary for the certificate, and that homework is recommended and counts toward leaderboard rank."
Is the Capstone project the only required thing for getting the certificate?,9f689c185f,bad,"The ground truth says that passing the Capstone project is required for the certificate, and homework is not mandatory. The AI answer preserves that homework is not mandatory, but it adds extra requirements (finish with a live cohort and peer-review 3 other projects) that are not in the original answer and changes the direct answer to imply the capstone is not the only requirement. This is not semantically equivalent to the ground truth, which only states capstone passing is needed and homework is optional."
"Are homework assignments mandatory for course completion, or just optional practice?",9f689c185f,good,"The AI answer matches the ground truth: homework is optional and not required for completion, while passing the Capstone project is required for the certificate. It omits the leaderboard detail, but that is extra information and not necessary for equivalence."
"If homework isn't required, what role do the homework points play in the course?",9f689c185f,good,"The AI answer conveys the same key points as the original: homework is not required, the Capstone project is required for the certificate, and homework points count toward leaderboard rank. It omits the recommendation aspect, but that is not essential to the question asked."
Why does the homework content keep changing before it’s released?,96286b4be4,good,"The AI answer preserves the key conditions from the ground truth: '[DRAFT]' means not ready, homework is only ready when the form is open and the title no longer contains '[DRAFT]', and content may change before release. It also includes the same warning that working ahead is at your own risk. Semantically equivalent."
What does it mean when the homework title has [DRAFT] in it?,96286b4be4,good,"The AI answer captures the core meaning of [DRAFT]: the homework is not ready yet. It omits the extra conditions and caution, but those are supporting details rather than the main answer. So it is semantically equivalent."
How can I tell if a homework is actually ready to do?,96286b4be4,good,"The AI answer matches the ground truth: it states the homework is ready only when the form is open and the title does not contain [DRAFT], and explains that [DRAFT] means not ready and content may still change. No key information is missing or incorrect."
Is it safe to start homework early if the page is already there?,96286b4be4,good,"The AI answer matches the ground truth: it states that starting early is at your own risk, explains that readiness requires both the form being open and the title lacking [DRAFT], and notes that content may still change. This preserves the key safety caveat and conditions for readiness."
Can the final homework be different from the draft version?,96286b4be4,good,"The AI answer correctly conveys the key point that a draft homework can change and the final version may be different. It also references the [DRAFT] indicator appropriately. Although it omits the full readiness conditions from the ground truth, it answers the question directly and does not contradict the original."
When is llm-zoomcamp going to be offered again?,bd31146b0e,good,The AI answer exactly matches the ground truth and conveys the same information: llm-zoomcamp will be offered again in Summer 2027.
Do you know the next time this course will start?,bd31146b0e,good,"The AI answer exactly matches the ground truth, correctly stating the next start time as Summer 2027."
Is there a planned session for the course in 2027?,bd31146b0e,good,The AI answer conveys the same information as the ground truth: the planned session is Summer 2027. It is semantically equivalent.
When should I expect the next offering of this class?,bd31146b0e,good,"The AI answer exactly matches the ground truth response, stating the next offering is Summer 2027."
Will the course be available again in summer 2027?,bd31146b0e,good,The AI answer conveys the same information as the ground truth: the course will be available again in Summer 2027. It is semantically equivalent and correct.
Where can I find the course lectures and video lessons?,31456f4b5f,good,"The AI answer conveys the same core information as the ground truth: the GitHub repository is the main entry point, lesson folders contain the videos, and the lesson pages link the relevant videos at the top. It omits the note about preferring the GitHub repo over the YouTube playlist when in doubt, but that is additional guidance rather than a key point."
Is there a main page or repo I should start from to get all the lesson videos?,31456f4b5f,good,"The AI answer matches the ground truth: it identifies the LLM Zoomcamp GitHub repository as the main entry point, says lesson folders/pages contain the relevant video links, and notes the repo is more up to date than the YouTube playlist. No key information is missing or incorrect."
The YouTube playlist looks confusing — where are the videos linked for each lesson?,31456f4b5f,good,"The AI answer preserves the key guidance: use the LLM Zoomcamp GitHub repository as the main entry point, open lesson folders, and find the relevant videos linked at the top of each lesson page. It also correctly notes that the repo is easier to keep updated than the YouTube playlist. This is semantically equivalent to the ground truth."
What’s the easiest place to check for the latest LLM Zoomcamp lecture videos?,31456f4b5f,good,"The AI answer conveys the same key information as the ground truth: use the LLM Zoomcamp GitHub repository, open the lesson folders, and find videos linked at the top of each lesson page; it also correctly notes that the repo is easier to keep updated than the YouTube playlist. Semantically equivalent."
How do I find the video for a specific lesson in this course?,31456f4b5f,bad,"The AI answer does not provide the actual guidance from the ground truth. The correct answer is to use the LLM Zoomcamp GitHub repository, open the lesson folders, and find the relevant videos linked at the top of each lesson page, with GitHub preferred over the YouTube playlist because it is easier to keep updated. Saying the context doesn't say and 'I don't know' misses the key information entirely."
"Where do I follow the LLM Zoomcamp syllabus, homework deadlines, and my progress in one place?",20c5a1347e,good,"The AI answer correctly identifies the LLM Zoomcamp course management platform and states that it contains the syllabus, homework deadlines, and progress tracking in one place. This matches the ground truth sufficiently, with no incorrect information."
Is there a course platform for checking the current cohort structure and tracking progress in LLM Zoomcamp?,20c5a1347e,good,"The AI answer matches the ground truth: it provides the course management platform link and correctly states that it contains the current cohort structure, homework, deadlines, and progress tracking. No key information is missing or incorrect."
How can I keep up with deadlines and homework for this Zoomcamp without missing anything?,20c5a1347e,good,"The AI answer gives the same key recommendation: use the LLM Zoomcamp course management platform at the same URL to track homework, deadlines, and progress. The additional workflow details do not contradict the ground truth and are acceptable extra detail. It preserves the main point that this is the platform for keeping up with the course, and notes that the process matches other DataTalks.Club Zoomcamps in spirit, though not explicitly. Semantically equivalent."
"What site should I use to see the LLM Zoomcamp schedule, assignments, and course progress?",20c5a1347e,good,"The AI answer correctly identifies the LLM Zoomcamp course management platform URL and states it contains the schedule, assignments/homework, deadlines, and course progress, matching the ground truth."
Is the LLM Zoomcamp management page the same as the one used in other DataTalks.Club Zoomcamps?,20c5a1347e,good,"The AI answer preserves the key point that the management process is the same as in other DataTalks.Club Zoomcamps. It omits the specific link and details about cohort structure, homework, deadlines, and progress tracking, but those are extra context rather than the core answer to whether it is the same. So it is semantically equivalent."
"Do we get live office hours for every module in this course, or is everything just pre-recorded?",d65e05bd7a,good,"The AI answer matches the ground truth on the key points: no default live office hours for every module, materials are pre-recorded in the repo, live sessions are announced separately, and students should ask in Slack with the guidelines. It omits the optional paid AI Shipping Labs support, but that is extra information rather than a required core part of the answer to the question asked."
"If I get stuck on a lesson, where should I ask for help since there aren’t separate sessions for each module?",d65e05bd7a,good,"The AI answer correctly says to ask in Slack and follow the asking questions guidelines, which is the key point of the original answer. It omits the extra context about module sessions, live sessions, and optional AI Shipping Labs, but those are not necessary to answer the question asked."
"Are live sessions part of the regular course schedule, or do they only happen sometimes?",d65e05bd7a,good,"The AI answer matches the ground truth on the key point: live sessions are not part of every module by default, materials are pre-recorded, and live sessions occur only when separately announced. It omits the extra guidance about asking questions in Slack and the optional AI Shipping Labs support, but those are additional details rather than the core answer to the question."
What’s the best way to get support during the course if the module videos aren’t enough?,d65e05bd7a,bad,"The AI answer correctly says to ask in Slack and refer to course docs, which aligns with the support guidance. However, it misses important parts of the ground truth: there are no separate live sessions by default, live sessions are only announced separately, and optional extra support via AI Shipping Labs (paid community with Zoom office hours) is not mentioned. The mention of including code/output as text is compatible with asking questions guidelines, but overall the answer omits key support options and context, so it is not fully semantically equivalent."
"Is there any extra paid option with regular Zoom office hours, or is the course only the free materials?",d65e05bd7a,good,"The AI answer correctly states that the course content is free and that AI Shipping Labs is an optional paid extra support option with regular Zoom office hours. It captures the key distinction from the ground truth. Minor details about live sessions being announced separately and asking questions in Slack are omitted, but those are not essential to the question asked."
Can I count my Bluesky posts toward learning in public credits?,dbf5369006,good,The AI answer exactly matches the ground truth and conveys the same meaning: Bluesky posts count toward learning in public credits.
Is Bluesky accepted for the public learning credits in this course?,dbf5369006,good,The AI answer matches the ground truth exactly and conveys the same meaning: Bluesky posts are accepted for public learning credits in the course.
Do posts on Bluesky qualify for learning in public credit requirements?,dbf5369006,good,The AI answer exactly matches the ground truth and preserves the same meaning: Bluesky posts qualify for learning in public credits.
"If I share course progress on Bluesky, will that give me learning in public credits?",dbf5369006,good,The AI answer exactly matches the ground truth and preserves the key information that Bluesky posts count for learning in public credits.
Are Bluesky updates allowed as evidence for earning public learning credits?,dbf5369006,good,The AI answer matches the ground truth exactly in meaning: it affirms that Bluesky posts/updates are allowed as evidence for earning public learning credits.
What’s the Telegram link for the LLM Zoomcamp channel?,054f3fd58f,good,"The AI answer provides the exact Telegram link for the LLM Zoomcamp channel, which matches the ground truth. The extra note about using Slack for technical discussion is omitted, but the question only asks for the Telegram link, so this is semantically equivalent."
Where can I join the LLM Zoomcamp Telegram group?,054f3fd58f,good,"The AI answer provides the correct Telegram link for the LLM Zoomcamp group/channel. It matches the ground truth key information, though it omits the note about using Slack for technical discussion. That omission does not affect correctness for the asked question."
"Is there a Telegram channel for LLM Zoomcamp, and what is it used for?",054f3fd58f,good,"The AI answer matches the ground truth: it provides the Telegram channel link and correctly states it is used for announcements, while technical discussion should go to the course Slack channel."
Should I use the Telegram channel or Slack for course announcements and technical questions?,054f3fd58f,good,"The AI answer matches the ground truth: Telegram is for announcements, and Slack is for technical discussion and questions. It conveys the same key information, with no contradiction or omission."
"Where do I go for LLM Zoomcamp announcements, and where should I ask technical stuff?",054f3fd58f,good,The AI answer matches the ground truth: Telegram channel for announcements and course Slack for technical discussion/questions. No key information is missing or incorrect.
Why does my FAQ dataset have a different number of records than the one shown in the videos?,e2d595f23c,good,"The AI answer conveys the same core explanation as the ground truth: the FAQ dataset is live, changes over time, and the videos were recorded in May 2026, which explains the record count mismatch. It is semantically equivalent and complete."
Is it normal if the live FAQ data changes and I don’t get the same record count as in the lecture?,e2d595f23c,good,"The AI answer matches the ground truth: it says the live FAQ dataset changes over time, causing record counts to differ from the lecture videos. This preserves the key point that the dataset is dynamic and the videos are dated, so differing counts are expected."
"I’m following the course code, but the FAQ rows don’t match the video output—what’s going on?",e2d595f23c,good,"The AI answer conveys the same core point as the ground truth: the FAQ dataset is live and changes over time, causing row counts to differ from the videos, which were recorded in May 2026. It includes the key details about new questions being added and old ones removed. Semantically equivalent."
"Why do the FAQ items keep changing when I reload the dataset, and why is it different from the recording?",e2d595f23c,good,"The AI answer matches the ground truth: it explains that the FAQ dataset is live and changes over time with new questions added and old ones deleted, and it correctly notes that the videos were recorded in May 2026 so the dataset may differ when reloaded later. This conveys the same key information."
Should I expect the FAQ dataset count to be different now because the course videos were recorded earlier?,e2d595f23c,good,"The AI answer conveys the same core point as the ground truth: the FAQ dataset is live, changes over time, and the count may differ because the videos were recorded earlier in May 2026. It includes the same reasons (new questions added, old ones deleted) and matches the original meaning."
Can I still turn in the homework if the deadline already passed but the form is still open?,a9353fadfe,good,"The AI answer preserves the key point of the ground truth: submissions are allowed after the deadline if the form remains open, and are blocked only once the form is closed. This is semantically equivalent."
"The due date is over, but the submission page still works — does that mean I can submit now?",a9353fadfe,good,"The AI answer preserves the key point from the ground truth: submissions are still allowed after the due date if the form remains open, and only become impossible once the form is closed. It is semantically equivalent, though slightly shorter and omits the explicit 'go ahead and submit' phrasing."
Is it okay to send homework late as long as the form hasn’t been closed yet?,a9353fadfe,good,"The AI answer matches the ground truth: it says submissions are allowed while the form remains open even after the deadline, and not accepted once closed. This preserves the key condition and implication."
"I missed the deadline, but the upload form is still available. Will my submission still count?",a9353fadfe,good,"The AI answer preserves the key meaning of the ground truth: submissions are accepted while the form remains open, even after the deadline, and are no longer accepted once the form is closed. This is semantically equivalent."
When does homework submission actually stop — at the deadline or only after the form is closed?,a9353fadfe,good,"The AI answer matches the ground truth: submission remains possible after the listed deadline as long as the form is still open, and it stops only once the form is closed. This conveys the same key information clearly."
"Can I still turn in homework after the deadline if the submission form is open, or is it already closed for good?",cdc3b285e5,good,"The AI answer correctly captures the key policy: submissions are allowed after the listed deadline as long as the form remains open, and they become impossible once the form closes. It omits the extra details about no individual extensions, no late submissions after closure, and homework not affecting the certificate, but those are not necessary to answer the user's question."
Do you ever give individual deadline extensions for homework in this course?,cdc3b285e5,good,"The AI answer correctly states that there are no individual deadline extensions and no late submissions once the form is closed. It omits the additional details about being able to submit while the form is still open after the deadline, and that homework is not required for the certificate and only affects leaderboard rank. However, the core question about extensions is answered accurately, so this is semantically equivalent enough."
"If I miss one homework, will that stop me from getting the certificate?",cdc3b285e5,good,"The AI answer preserves the core point that missing one homework does not affect the certificate and that passing the Capstone project is what matters. It omits extra details about late submissions and leaderboard ranking, but those are not necessary for answering the question."
"Are homework assignments required, or is the Capstone the only thing I really need to pass?",cdc3b285e5,good,"The AI answer captures the key point that homework is not required and the Capstone is the only mandatory part for the certificate, and it correctly mentions homework points only affect leaderboard rank. However, it omits the other important part of the original answer about no late submissions and the form closing behavior. Since the question asks whether homework is required, that omission does not change the core meaning, so the answer is semantically equivalent."
"Do late homework submissions count toward the leaderboard, or are only on-time ones accepted?",cdc3b285e5,good,"The AI answer captures the key point that late homework submissions are not accepted and that only submissions made while the form is open count. It also correctly states that homework points count toward leaderboard rank. It omits some extra context from the original about no deadline extensions, certificate requirements, and that you can still submit after the listed deadline if the form remains open, but that does not change the core answer to the question."
