question,document
Can I still join the course if I just found out about it?,74eb249bbf
"If I join late, am I still eligible for a certificate?",74eb249bbf
Do I need to submit my project before submissions close to get the certificate?,74eb249bbf
Is it okay to start the course now even though it already began?,74eb249bbf
What’s the rule for getting a certificate if I join after the course has started?,74eb249bbf
"I signed up for the LLM Zoomcamp — when should I get the confirmation email, or is there one at all?",977bf7786c
"Do I need to wait for an approval or confirmation after registering, or can I just start the course?",977bf7786c
Is registration for the LLM Zoomcamp actually required before I can watch lessons and submit homework?,977bf7786c
"I filled out the sign-up form — does that mean I’m officially accepted, or is there another step?",977bf7786c
What’s the point of registering for the course if it isn’t checked against a list?,977bf7786c
Where do I watch the Office Hours or live workshop stream if I’m a student?,489dd1c9d9
"Is the Zoom link for the live sessions shared with everyone, or only with the teaching team?",489dd1c9d9
How do I ask questions during Office Hours when the session is live?,489dd1c9d9
Will the live session video link be posted somewhere before it starts?,489dd1c9d9
"Can I just ask my questions in the chat during the workshop, or is there a better place to send them?",489dd1c9d9
What’s the best way to begin LLM Zoomcamp and keep up with the weekly routine?,04919992b3
"Do I need to start the course at a specific time, or can I jump in whenever?",04919992b3
"Where should I look first: the docs, the logistics page, or the GitHub repo?",04919992b3
What does a normal week in the course look like from videos to homework submission?,04919992b3
"Is the homework basically the same as the lesson work, or does it change a bit?",04919992b3
How do I find my name on the leaderboard if I can’t see it right away?,c2903069a0
Why does my leaderboard entry show some random nickname instead of my real name?,c2903069a0
Where can I check what display name the course is using for me?,c2903069a0
Can I change the name that appears on the leaderboard and in the course profile?,c2903069a0
What do I need to fill in so my certificate doesn’t show the default random name?,c2903069a0
"Can I take the course on my own schedule and still get the certificate, or does it have to be with a live cohort?",69d122f12e
"If I finish everything in self-paced mode, will I still get a certificate at the end?",69d122f12e
Why aren’t certificates given for the self-paced version of the course?,69d122f12e
Do I need to do peer reviews to be eligible for the course certificate?,69d122f12e
"Once the course is over, can I still submit peer reviews and qualify for certification?",69d122f12e
Can I still get the certificate if I skipped the first homework?,9f689c185f
Do I have to do all the homework assignments to receive the certificate?,9f689c185f
Is the Capstone project the only required thing for getting the certificate?,9f689c185f
"Are homework assignments mandatory for course completion, or just optional practice?",9f689c185f
"If homework isn't required, what role do the homework points play in the course?",9f689c185f
Why does the homework content keep changing before it’s released?,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,96286b4be4
How can I tell if a homework is actually ready to do?,96286b4be4
Is it safe to start homework early if the page is already there?,96286b4be4
Can the final homework be different from the draft version?,96286b4be4
When is llm-zoomcamp going to be offered again?,bd31146b0e
Do you know the next time this course will start?,bd31146b0e
Is there a planned session for the course in 2027?,bd31146b0e
When should I expect the next offering of this class?,bd31146b0e
Will the course be available again in summer 2027?,bd31146b0e
