question,answer_llm,answer_orig,document
Can I still join the course if I just found out about it?,"Yes, you can still join the course. If you want a certificate, you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join late, am I still eligible for a certificate?","No. You can join late, but you can only get a certificate if you finish the course with a live cohort and submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Do I need to submit my project before submissions close to get the certificate?,"Yes. To get the certificate, you need to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it okay to start the course now even though it already began?,"Yes — you can start whenever you want, even if the course has already begun. The videos and GitHub materials are available, and you can follow the course at your own pace.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What’s the rule for getting a certificate if I join after the course has started?,"If you join after the course has started, you can still join — but to get a certificate, you need to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up for the LLM Zoomcamp — when should I get the confirmation email, or is there one at all?","You don’t need a confirmation email. You’re already accepted, and you can start learning and submitting homework while the form is open without waiting for anything else. Registration is mainly just to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Do I need to wait for an approval or confirmation after registering, or can I just start the course?","You don’t need to wait for approval or a confirmation email. You’re accepted, and you can just start the course and submit homework while the form is open. Registration is only for gauging interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Is registration for the LLM Zoomcamp actually required before I can watch lessons and submit homework?,"No. Registration is not required to watch lessons or submit homework. You can start learning and submit homework while the form is open, and it is not checked against a registered list. Registration is just to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"I filled out the sign-up form — does that mean I’m officially accepted, or is there another step?",You’re accepted already — there’s no extra approval step. You can just start learning and submit homework while the form is open.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What’s the point of registering for the course if it isn’t checked against a list?,"Registration is just to gauge interest before the start date. You’re accepted either way, and you can start learning and submitting homework while the form is open. It isn’t checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Where do I watch the Office Hours or live workshop stream if I’m a student?,"Students participate via **YouTube Live**. The video URL is posted in the **announcements channel on Telegram and Slack** before it begins, and you can also watch on the **DataTalksClub YouTube channel**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is the Zoom link for the live sessions shared with everyone, or only with the teaching team?","Only with the teaching team. The Zoom link is published to instructors/presenters/TAs, while students watch via YouTube Live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
